Name,Class,EnergyCost,CastTime,CastType,Effect,EffectCode,Value1,Value2,Value3
打击,战士,1,0,瞬发,对单体目标造成6点伤害,DAMAGE_6,6,0,0
火球术,法师,2,0,1秒,对单体目标造成8点伤害,DAMAGE_8,8,0,0
治疗术,牧师,1,0,瞬发,恢复6点生命值,HEAL_6,6,0,0
毒刃,盗贼,1,0,瞬发,立刻攻击目标，造成6点伤害，并使其获得3层中毒,DAMAGE_6_POISON,6,3,0
断筋,战士,1,0,瞬发,对单体目标造成3点伤害，并使目标速度降低3点，持续5秒,DAMAGE_3_SLOW,3,3,5
盾击,战士,2,0,瞬发,对单体目标造成4点伤害，并获得3点护甲,DAMAGE_4_ARMOR,4,3,0
冰霜新星,法师,3,0,瞬发,对所有敌人造成4点伤害，并使其速度降低2点,DAMAGE_4_ALL_SLOW,4,2,0
奥术冲击,法师,1,0,瞬发,消耗当前所有能量，对目标释放一次强力的奥术冲击,CONSUME_ALL_ENERGY,2,0,0
伏击,盗贼,2,0,瞬发,只能在潜行状态下使用，立刻攻击，造成15点伤害,DAMAGE_15,15,0,0
疾跑,盗贼,1,0,瞬发,立刻进入潜行状态，最多可持续10秒,STEALTH,10,0,0
神圣新星,牧师,2,0,瞬发,对所有友军恢复4点生命值,HEAL_4_ALL,4,0,0
驱散,牧师,1,0,瞬发,移除目标身上的所有负面效果,DISPEL,0,0,0 